Brand,Model,Year,Mileage_kmpl,Engine_CC,Horsepower,Fuel_Type,Transmission,Owner_Type,Color,City,Kms_Driven,Insurance_Valid,Service_History,Accidents,Tax_Paid,Number_of_Doors,Seats,Registration_Age,Price
Toyota,Camry,2001,19.61585165,1396.560379,,Hybrid,Automatic,First,Grey,Chennai,500928,1,1,0,1,4,5,24,353189.6042
Hyundai,i20,2012,19.47860788,1130.771005,137.0217191,Petrol,,First,Grey,Mumbai,211510,0,1,0,1,4,5,13,959694.2574
Mahindra,Bolero,2008,17.46992033,1766.46625,142.9029605,,Automatic,First,Black,Kolkata,333999,1,0,0,1,5,5,17,292022.9256
BMW,X1,2015,21.29542076,,49.7820794,,Manual,First,White,Pune,225930,1,1,3,1,4,5,10,2949453.462
Honda,Civic,2022,18.32683268,1239.334935,121.5059934,Diesel,Manual,Second,White,Kolkata,43404,1,0,0,1,5,5,3,636520.7979
Toyota,Camry,2007,,1513.15743,100.9273063,Petrol,Automatic,Second,,,321426,0,0,1,1,4,2,18,519526.4239
Hyundai,i20,2014,16.32865449,1398.7226,111.8464967,Diesel,Manual,First,,Chennai,200343,1,0,0,1,4,4,11,495319.0985
Hyundai,Creta,2001,21.89512025,800,0.7097655801,Petrol,Manual,Second,White,Kolkata,228720,1,0,0,1,5,5,24,50000
Volkswagen,Taigun,2020,17.46184665,1397.891768,104.0951677,Diesel,Automatic,Fourth+,Black,Hyderabad,122025,1,1,0,1,4,5,5,1045347.079
Audi,A4,2009,12.06222057,1618.723936,86.07102358,Petrol,Manual,Second,Blue,Pune,395200,1,1,1,1,5,7,16,263330.8936
Mercedes,E-Class,2019,16.83122908,2128.230552,146.219245,Hybrid,Automatic,First,Brown,Pune,62874,0,0,0,1,4,5,6,4032569.102
Toyota,Camry,2016,,1553.812047,97.54755009,Petrol,Automatic,Third,Black,Pune,136179,0,1,0,1,4,5,9,213122.5306
Kia,Seltos,2023,16.46407308,1344.269176,103.2781413,Petrol,Manual,Second,Grey,Kolkata,35930,1,0,2,1,4,5,2,730222.3519
Audi,Q5,2022,21.94726073,2365.909008,,CNG,Manual,Second,Red,Bangalore,49965,1,1,1,1,4,5,3,2188407.418
Ford,Figo,2004,17.04429956,2049.147919,167.0788042,Diesel,Manual,Second,Blue,Chennai,364266,1,1,0,1,4,5,21,395308.1259
Nissan,Sunny,2007,20.32005499,1572.83356,105.6168383,Petrol,Manual,First,Brown,Hyderabad,295848,1,1,0,1,5,2,18,50000
Ford,EcoSport,2010,15.82360192,,167.8631172,Petrol,Manual,First,Grey,Delhi,89610,1,1,0,1,4,5,15,418292.6858
Tata,Nexon,2006,9.261322578,1190.455885,85.56558666,Petrol,Automatic,First,Blue,Delhi,187055,1,1,0,1,4,7,19,389857.3514
Toyota,Camry,2006,15.25864787,1759.41379,139.1565439,Petrol,Manual,First,Blue,Hyderabad,447127,1,1,0,1,4,5,19,50000
Tata,Harrier,2023,23.59296431,1003.166668,108.1680754,Diesel,Manual,Second,White,Hyderabad,27634,1,1,0,1,5,5,2,468088.9055
BMW,X3,2010,19.57069617,,154.3738258,Petrol,Automatic,Second,Red,Mumbai,328635,1,1,0,1,5,5,15,2522183.615
Honda,City,2023,19.67135509,1524.256068,133.8583939,,Manual,First,Silver,Ahmedabad,24490,1,0,0,0,2,5,2,1304194.173
Ford,Endeavour,2020,18.6528347,2023.562538,130.9247405,CNG,Manual,First,Blue,Kolkata,56850,1,0,0,1,5,5,5,371078.3651
Mercedes,E-Class,2014,12.22766553,1548.67699,127.7004777,Diesel,Manual,First,Brown,Kolkata,204248,0,0,0,1,4,5,11,1105559.668
BMW,3 Series,2018,17.82294037,1089.912293,78.97345402,Petrol,Automatic,Third,,Ahmedabad,121429,1,1,1,1,5,5,7,3246262.227
Toyota,Yaris,2016,,1694.915565,146.2598635,Petrol,Manual,First,Grey,Hyderabad,206883,1,0,0,1,4,7,9,196042.9398
Mahindra,XUV700,2024,20.59500725,2200.424896,184.6009247,Petrol,Manual,Third,,Pune,17205,1,1,0,1,4,7,1,1481424.261
BMW,X3,2011,12.23708739,1384.376887,80.19959244,Diesel,Automatic,Third,Silver,Chennai,204708,1,1,0,1,5,7,14,1754351.781
Hyundai,Verna,2002,17.12050374,1253.828713,90.03719275,Hybrid,Manual,First,Red,Chennai,334512,1,1,0,0,5,5,23,266848.3325
Kia,Sonet,2010,17.87111188,1640.599875,125.4449889,Hybrid,,Fourth+,Grey,Mumbai,163170,0,0,0,0,4,5,15,1170295.133
Mahindra,Bolero,2007,13.04038731,1548.174245,81.16711528,CNG,Manual,First,Grey,Hyderabad,366768,1,1,0,1,5,5,18,50000
Nissan,Magnite,2022,14.28675175,1445.693308,166.6559227,Diesel,Automatic,Third,White,Kolkata,15717,1,1,0,1,5,5,3,856470.1797
Honda,Civic,2016,14.83505735,800,,Petrol,Automatic,Third,Grey,Pune,190512,1,1,1,0,5,5,9,1114424.244
Kia,Sonet,2012,20.11034927,1578.878416,139.566567,Electric,Manual,First,Black,Bangalore,107471,1,1,1,1,4,5,13,1112463.348
Hyundai,Creta,2018,,1387.022454,111.5403907,Diesel,Automatic,Second,Black,Delhi,142555,1,0,0,1,5,4,7,841326.3826
Skoda,Octavia,2003,18.2401353,1405.023629,129.9198898,Diesel,Manual,First,Black,Delhi,423588,0,1,1,1,4,5,22,419226.6088
Hyundai,Creta,2006,26.82459211,2013.80947,144.4535025,Diesel,,First,Black,Chennai,240787,1,1,2,1,5,5,19,457222.289
Audi,Q5,2021,13.60571866,1030.527381,74.63134072,Diesel,Manual,Third,Brown,Mumbai,93232,0,1,0,1,4,4,4,3151376.383
Tata,Punch,2004,18.02774431,800,72.44350145,Petrol,Automatic,Second,Grey,Mumbai,346584,1,0,0,1,5,5,21,250305.5867
Mercedes,E-Class,2009,15.85689316,1113.459842,101.7847835,Diesel,Automatic,Third,White,Kolkata,232960,1,0,1,0,4,4,16,1948140.505
Tata,Punch,2023,16.91349055,2124.597655,197.2401063,Petrol,Manual,First,White,Kolkata,28114,1,0,0,1,4,5,2,1293793.734
Mahindra,Bolero,2014,,1761.810607,127.0742415,Petrol,Manual,Second,Brown,Kolkata,160798,1,1,0,1,5,5,11,494611.4426
Nissan,Kicks,2010,13.06305337,1546.432571,119.9755125,Diesel,Automatic,Third,Blue,Kolkata,196620,0,1,0,1,5,5,15,217265.2697
Skoda,Kushaq,2007,20.98906964,1745.545467,141.7945619,Petrol,,First,Red,Hyderabad,131022,1,1,0,1,2,7,18,433190.3308
Hyundai,i20,2010,19.06338109,1035.336848,63.46827436,Petrol,Manual,First,Brown,Bangalore,179520,0,1,1,1,5,5,15,829974.6512
Toyota,Camry,2012,24.71559315,1439.234695,145.272997,Diesel,Automatic,First,Red,,260247,0,1,0,1,4,7,13,933699.0452
Tata,Harrier,2017,21.98452699,1605.855283,116.2090294,Petrol,Manual,Third,Brown,Bangalore,115232,1,1,0,1,4,5,8,1113132.207
Hyundai,Creta,2000,20.26169358,1771.130698,132.2254988,Petrol,Manual,First,Red,Kolkata,619800,1,1,0,1,4,5,25,50000
BMW,X3,2011,22.63073621,1889.931287,197.4278939,CNG,Manual,Second,Silver,Delhi,104356,1,1,1,1,4,7,14,2543033.648
Honda,Amaze,2003,9.049822439,1696.570637,135.353151,Petrol,,Second,Black,Mumbai,170104,0,1,1,1,5,5,22,50000
Tata,Harrier,2009,19.98867607,1055.807002,65.66088627,Petrol,Manual,First,Grey,Delhi,135520,1,1,0,0,4,5,16,619742.5056
Ford,EcoSport,2002,21.62422139,982.8899374,54.72759786,Hybrid,Manual,First,,Chennai,407836,1,0,0,1,5,5,23,50000
Nissan,Magnite,2009,10.99501141,,124.8130915,Diesel,Automatic,First,Blue,Delhi,219904,1,0,0,1,4,5,16,121757.972
Mercedes,C-Class,2013,,,139.6894482,Diesel,,Third,Silver,Mumbai,177960,1,0,0,1,5,7,12,1769108.12
Ford,Endeavour,2011,15.76738565,800,,Petrol,Manual,Second,Red,Chennai,1138116,1,1,0,0,4,5,14,1405905.843
Mercedes,E-Class,2006,14.99417789,1007.355666,89.02928444,CNG,Manual,First,Silver,Kolkata,408177,1,1,0,1,4,5,19,1556490.052
Volkswagen,Polo,2021,19.4592226,1887.305681,129.79557,Hybrid,Manual,Second,Brown,Delhi,26388,1,0,0,1,4,5,4,1620726.252
Skoda,Kushaq,2011,,1898.321857,155.2939811,Electric,Manual,First,Brown,Bangalore,197820,1,1,0,1,5,4,14,1014005.334
Skoda,Slavia,2000,16.34967015,1584.781442,135.6356434,Petrol,Automatic,Second,Black,Kolkata,561950,1,1,0,1,4,5,25,50000
Honda,Civic,2011,9.89980022,1031.753115,102.0353186,Electric,Automatic,Second,White,Mumbai,125762,0,1,2,1,4,7,14,243597.4677
Skoda,Kushaq,2009,16.14391602,1585.068217,120.3262196,Diesel,Manual,Third,Black,Hyderabad,162272,1,1,0,1,4,4,16,214634.8415
Audi,Q5,2002,15.25332337,1528.58521,110.348548,Hybrid,Automatic,Third,Brown,Pune,133860,0,1,0,1,4,5,23,1316541.694
Audi,A4,2004,,1179.795606,82.6962941,Petrol,Manual,Fourth+,Blue,Kolkata,370566,1,1,1,0,5,4,21,916917.2574
Hyundai,Verna,2019,17.57825593,1117.774066,92.03841461,Hybrid,Manual,First,Blue,,77010,1,1,0,1,5,5,6,375106.2748
Hyundai,Verna,2019,22.6830659,2135.450689,,Petrol,Manual,First,,Mumbai,50058,0,1,1,1,4,7,6,838890.4613
Volkswagen,Taigun,2016,15.98976575,1515.905369,,Hybrid,Manual,First,,Bangalore,80829,1,1,0,1,4,7,9,1282846.187
Volkswagen,Taigun,2011,22.10087221,1879.585585,118.36684,Petrol,Manual,Second,Silver,Pune,327782,1,1,0,1,4,7,14,212266.1568
Hyundai,i20,2014,17.93838268,1691.576522,152.2799244,Petrol,Automatic,Second,Blue,Pune,226226,1,1,0,1,5,5,11,220848.1965
Kia,Carens,2018,19.07158349,1155.635471,84.50934857,Diesel,Manual,Third,White,Delhi,36603,1,1,0,1,5,5,7,687535.6033
Skoda,Slavia,2002,19.3595406,1800.72862,129.7633295,Diesel,Manual,First,Silver,,508070,1,1,1,1,4,5,23,50000
Honda,Civic,2020,13.80364084,1752.274322,101.7222247,,Manual,First,Red,Bangalore,97710,1,1,0,1,5,5,5,1260644.13
Audi,Q5,2005,23.40921233,1303.135675,110.4190864,,Manual,Second,Grey,,116000,1,1,0,1,2,7,20,1329801.776
Hyundai,Verna,2000,15.02513899,2022.058095,,Petrol,Manual,Second,Black,Pune,160450,1,0,0,1,4,5,25,127374.8243
Audi,A4,2015,12.71700668,1502.342766,136.7562623,,Automatic,Second,White,Kolkata,56670,1,1,0,1,5,5,10,2962193.512
Tata,Nexon,2014,,991.2445305,56.65497385,Diesel,Manual,Fourth+,Red,Delhi,109725,1,1,0,1,4,5,11,837382.588
Mahindra,Bolero,2005,22.35564782,,69.14638724,Petrol,Manual,Second,White,Pune,317720,1,1,1,1,4,5,20,50000
Tata,Harrier,2017,17.90169123,2203.538012,,Hybrid,Manual,First,Red,Chennai,49064,1,1,0,1,4,5,8,786787.8199
Mahindra,XUV700,2020,,1462.225583,120.8797336,Diesel,Manual,Second,Blue,Mumbai,48915,1,0,2,0,5,4,5,878242.5294
Toyota,Corolla,2002,19.37526385,1938.78807,162.2235568,Diesel,Automatic,Second,,Ahmedabad,129329,1,0,0,1,4,5,23,774499.6069
